address,description,icon,website,socials
0x0578d8A44db98B23BF096A382e016e29a5Ce0ffe,100% fair launched,https://coinimg.vogelcode.com/higher.png,https://www.higher.party/,"[{""type"":0,""url"":""https://twitter.com/higheronchain""}]"
0x0Ab57f6600374A7d3B4f02E94CddA7d309d6a00E,TRUMP 2024 is meme on base,https://coinimg.vogelcode.com/trump2024.png,https://trump2024base.xyz/,"[{""type"":0,""url"":""https://twitter.com/TRUMP2024BASE""},{""type"":1,""url"":""https://t.me/+m1r6wQyqhhNkOGY1""}]"
0x0BbbEad62f7647AE8323d2cb243A0DB74B7C2b80,"WALLET is the governance token of Ambire Wallet. It is also used as a user acquisition tool for marketing activities (referral program, rewards, etc.).",https://coinimg.vogelcode.com/wallet.png,https://ambire.com,"[{""type"":0,""url"":""https://twitter.com/AmbireWallet""},{""type"":1,""url"":""https://t.me/AmbireOfficial""}]"
0x0d97F261b1e88845184f678e2d1e7a98D9FD38dE,Base God is the most Based meme on Base. Join the Disciples of B as we follow Big B to eternal salvation and take over the Base chain.,https://coinimg.vogelcode.com/tybg.png,https://basegod.fun/,"[{""type"":0,""url"":""https://twitter.com/tybasegod""}]"
0x0e0c9756a3290cD782CF4aB73ac24D25291c9564,Just a coin for people who love art and anime. An onchain art and anime movement.,https://coinimg.vogelcode.com/anime.png,https://animeonbase.art/,"[{""type"":0,""url"":""https://twitter.com/animeonbase""},{""type"":1,""url"":""https://t.me/AnimeOnBase""}]"
0x1C7a460413dD4e964f96D8dFC56E7223cE88CD85,Seamless Protocol is a native decentralized lending and borrowing protocol on Base. Seamless is focusing on lower-collateral borrowing and a better user experience to inspire the masses.,https://coinimg.vogelcode.com/seam.png,https://www.seamlessprotocol.com/,"[{""type"":0,""url"":""https://twitter.com/SeamlessFi""},{""type"":1,""url"":""https://t.me/seamless_protocol""}]"
0x24569d33653c404f90aF10A2b98d6E0030D3d267,"UNA token is Unagi's web3 gaming ecosystem token. It is your universal ticket to the entire range of Unagi games, offering a seamless experience across various genres and platforms including Ultimate Champions, Persona and more to come! ...",https://coinimg.vogelcode.com/una.png,https://unagi.games/,"[{""type"":0,""url"":""https://twitter.com/Unagi_studio""}]"
0x27D2DECb4bFC9C76F0309b8E88dec3a601Fe25a8,Bald (BALD) is a cryptocurrency and operates on the Base platform.,https://coinimg.vogelcode.com/bald.png,https://twitter.com/BaldBaseBald,"[{""type"":0,""url"":""https://twitter.com/BaldBaseBald""}]"
0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,"Coinbase Wrapped Staked ETH (“cbETH”) is a utility token that represents Ethereum 2 (ETH2), which is ETH staked through Coinbase.",https://coinimg.vogelcode.com/cbeth.png,https://www.coinbase.com/,"[{""type"":0,""url"":""https://twitter.com/CoinbaseAssets""}]"
0x2Da56AcB9Ea78330f947bD57C54119Debda7AF71,This Coin mogs all other coins. Base bridge version of Mog Coin on Ethereum.,https://coinimg.vogelcode.com/mog.png,https://mogcoin.xyz/,"[{""type"":0,""url"":""https://twitter.com/MogCoinEth""}]"
0x336C9297AFB7798c292E9f80d8e566b947f291f0,Phala Network is the most decentralized protocol to run AI Agents as coprocessors for blockchains.,https://coinimg.vogelcode.com/pha.png,https://phala.network/,"[{""type"":0,""url"":""https://twitter.com/PhalaNetwork""},{""type"":2,""url"":""https://discord.com/invite/phala""}]"
0x347F500323D51E9350285Daf299ddB529009e6AE,"Blerf emerged as the new meme coin on the block - inspired by Slerf’s success on the Solana network, Blerf aimed to carve its own path on Base, known for its speed and efficiency.",https://coinimg.vogelcode.com/blerf.png,https://blerf.live/,"[{""type"":0,""url"":""https://twitter.com/Blerf_official""}]"
0x3636a7734b669Ce352e97780Df361ce1f809c58C,$ROCKY - The fluffy son of MetaWin founder Skel.eth.,https://coinimg.vogelcode.com/rocky.png,https://www.rockycoinbase.com/,"[{""type"":0,""url"":""https://twitter.com/rockycoinbase""},{""type"":1,""url"":""https://t.me/rockycoinbase""}]"
